iteration;totalMonetaryCost;totalPathCost;totalTimeCost;totalWeatherExtraTime;totalWeatherSafetyRiskKm;totalWeatherCost;totalShopCost;totalDepotCost;totalResourceCost;totalIncome;forgottenTaskCost;weight;time;unassigned_tasks;total_tasks;destroy;repair
34;20280.834;454.127;3369.424;56.442;195.784;1663.282;3540.0;0.0;14794.0;33147.002;5668.14;-7198.028;12.923;18;128;[1.883, 2.114, 1.18, 2.3, 1.0];[1.701, 1.349, 2.337]
35;20156.967;452.058;3362.527;57.394;196.14;1688.382;3373.2;0.0;14654.0;33147.002;5668.14;-7321.895;48.667;18;128;[1.883, 2.114, 1.462, 2.3, 1.0];[1.931, 1.349, 2.337]
36;20156.967;452.058;3362.527;57.394;196.14;1688.382;3373.2;0.0;14654.0;33147.002;5668.14;-7321.895;48.976;18;128;[1.883, 2.114, 1.462, 2.17, 1.0];[1.931, 1.314, 2.337]
37;20156.967;452.058;3362.527;57.394;196.14;1688.382;3373.2;0.0;14654.0;33147.002;5668.14;-7321.895;41.865;18;128;[1.883, 2.003, 1.462, 2.17, 1.0];[1.931, 1.283, 2.337]
38;20145.916;441.829;3328.429;63.4;194.247;1842.658;3183.6;0.0;14533.0;33147.002;5668.14;-7332.946;53.997;18;128;[1.883, 2.203, 1.462, 2.17, 1.0];[2.138, 1.283, 2.337]
39;20145.916;441.829;3328.429;63.4;194.247;1842.658;3183.6;0.0;14533.0;33147.002;5668.14;-7332.946;80.213;18;128;[1.883, 2.083, 1.462, 2.17, 1.0];[2.024, 1.283, 2.337]
40;20145.916;441.829;3328.429;63.4;194.247;1842.658;3183.6;0.0;14533.0;33147.002;5668.14;-7332.946;6.173;18;128;[1.883, 2.083, 1.462, 2.053, 1.0];[2.024, 1.283, 2.203]
41;20145.916;441.829;3328.429;63.4;194.247;1842.658;3183.6;0.0;14533.0;33147.002;5668.14;-7332.946;12.363;18;128;[1.795, 2.083, 1.462, 2.053, 1.0];[2.024, 1.283, 2.083]
42;20145.916;441.829;3328.429;63.4;194.247;1842.658;3183.6;0.0;14533.0;33147.002;5668.14;-7332.946;22.697;18;128;[1.795, 2.083, 1.462, 1.948, 1.0];[1.922, 1.283, 2.083]
43;20077.451;434.394;3303.647;62.161;190.227;1806.41;3183.6;0.0;14533.0;33147.002;5668.14;-7401.411;28.579;18;128;[1.795, 2.083, 1.716, 1.948, 1.0];[2.13, 1.283, 2.083]
44;20077.451;434.394;3303.647;62.161;190.227;1806.41;3183.6;0.0;14533.0;33147.002;5668.14;-7401.411;18.866;18;128;[1.795, 2.083, 1.644, 1.948, 1.0];[2.017, 1.283, 2.083]
45;19934.836;417.92;3248.734;59.729;182.233;1735.181;3183.6;0.0;14533.0;33147.002;5668.14;-7544.026;55.636;18;128;[2.015, 2.083, 1.644, 1.948, 1.0];[2.017, 1.555, 2.083]
46;19934.836;417.92;3248.734;59.729;182.233;1735.181;3183.6;0.0;14533.0;33147.002;5668.14;-7544.026;11.861;18;128;[2.015, 1.975, 1.644, 1.948, 1.0];[2.017, 1.555, 1.975]
47;19900.189;410.654;3224.512;59.729;179.074;1732.023;3183.6;0.0;14533.0;33147.002;5668.14;-7578.673;25.406;18;128;[2.015, 1.975, 1.644, 2.153, 1.0];[2.017, 1.8, 1.975]
48;19900.189;410.654;3224.512;59.729;179.074;1732.023;3183.6;0.0;14533.0;33147.002;5668.14;-7578.673;44.381;18;128;[1.914, 1.975, 1.644, 2.153, 1.0];[2.017, 1.72, 1.975]
49;19900.189;410.654;3224.512;59.729;179.074;1732.023;3183.6;0.0;14533.0;33147.002;5668.14;-7578.673;16.2;18;128;[1.823, 1.975, 1.644, 2.153, 1.0];[2.017, 1.72, 1.878]
603constructshop:True depot:True weather:True;21837.497;536.408;3642.694;57.241;237.124;1725.394;4160.4;0.0;15933.0;32936.486;5878.656;-5220.333;212.76;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
0;21837.497;536.408;3642.694;57.241;237.124;1725.394;4160.4;0.0;15933.0;32936.486;5878.656;-5220.333;153.796;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
1;21837.497;536.408;3642.694;57.241;237.124;1725.394;4160.4;0.0;15933.0;32936.486;5878.656;-5220.333;40.379;19;128;[1.0, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.0]
2;21799.917;550.034;3688.114;61.093;241.35;1829.768;3921.6;0.0;15732.0;32936.486;5878.656;-5257.913;29.265;18;128;[1.3, 1.0, 1.0, 1.0, 1.0];[1.0, 1.0, 1.3]
3;21446.853;557.156;3711.854;63.876;246.057;1906.842;3279.6;0.0;15271.0;32936.486;5878.656;-5610.977;141.375;18;128;[1.57, 1.0, 1.0, 1.0, 1.0];[1.0, 1.3, 1.3]
4;21282.783;551.378;3692.594;65.482;245.283;1947.81;3066.0;0.0;15091.0;32936.486;5878.656;-5775.047;107.937;18;128;[1.813, 1.0, 1.0, 1.0, 1.0];[1.3, 1.3, 1.3]
5;21041.0;541.393;3659.309;62.025;236.636;1849.297;3160.8;0.0;14991.0;32936.486;5878.656;-6016.83;16.474;18;128;[1.813, 1.3, 1.0, 1.0, 1.0];[1.3, 1.3, 1.57]
6;21041.0;541.393;3659.309;62.025;236.636;1849.297;3160.8;0.0;14991.0;32936.486;5878.656;-6016.83;113.485;18;128;[1.813, 1.3, 1.0, 1.0, 1.0];[1.3, 1.27, 1.57]
7;21041.0;541.393;3659.309;62.025;236.636;1849.297;3160.8;0.0;14991.0;32936.486;5878.656;-6016.83;27.751;18;128;[1.732, 1.3, 1.0, 1.0, 1.0];[1.3, 1.27, 1.513]
8;20873.168;534.164;3635.214;56.213;230.257;1691.79;3278.4;0.0;15012.0;32936.486;5878.656;-6184.662;210.876;18;128;[1.732, 1.3, 1.0, 1.0, 1.3];[1.3, 1.543, 1.513]
9;20754.133;527.98;3614.601;55.089;227.248;1659.551;3207.6;0.0;14952.0;32936.486;5878.656;-6303.697;105.453;18;128;[1.732, 1.57, 1.0, 1.0, 1.3];[1.3, 1.789, 1.513]
10;20658.771;521.985;3594.615;52.516;224.766;1590.172;3374.4;0.0;14952.0;32936.486;5878.656;-6399.059;5.145;18;128;[1.732, 1.813, 1.0, 1.0, 1.3];[1.57, 1.789, 1.513]
11;20650.562;523.968;3601.226;56.363;227.925;1693.368;3374.4;0.0;14832.0;32936.486;5878.656;-6407.268;46.218;18;128;[1.732, 2.032, 1.0, 1.0, 1.3];[1.57, 2.01, 1.513]
12;20650.562;523.968;3601.226;56.363;227.925;1693.368;3374.4;0.0;14832.0;32936.486;5878.656;-6407.268;18.368;18;128;[1.732, 2.032, 1.0, 1.0, 1.3];[1.57, 2.01, 1.462]
13;20650.562;523.968;3601.226;56.363;227.925;1693.368;3374.4;0.0;14832.0;32936.486;5878.656;-6407.268;103.749;18;128;[1.732, 1.929, 1.0, 1.0, 1.3];[1.57, 1.909, 1.462]
14;20631.019;502.191;3528.636;59.577;220.194;1769.192;3351.6;0.0;14831.0;32936.486;5878.656;-6426.811;39.257;18;128;[1.732, 1.929, 1.3, 1.0, 1.3];[1.813, 1.909, 1.462]
15;20631.019;502.191;3528.636;59.577;220.194;1769.192;3351.6;0.0;14831.0;32936.486;5878.656;-6426.811;93.651;18;128;[1.732, 1.929, 1.3, 1.0, 1.27];[1.813, 1.818, 1.462]
16;20631.019;502.191;3528.636;59.577;220.194;1769.192;3351.6;0.0;14831.0;32936.486;5878.656;-6426.811;32.778;18;128;[1.732, 1.929, 1.3, 1.0, 1.27];[1.732, 1.818, 1.462]
17;20631.019;502.191;3528.636;59.577;220.194;1769.192;3351.6;0.0;14831.0;32936.486;5878.656;-6426.811;62.064;18;128;[1.732, 1.929, 1.27, 1.0, 1.27];[1.659, 1.818, 1.462]
